iter	MultiClass
0	1.915638389
1	1.887476685
2	1.861720779
3	1.838137628
4	1.810768982
5	1.787417209
6	1.763932537
7	1.74207277
8	1.721066285
9	1.701693622
10	1.682837093
11	1.665911072
12	1.647710839
13	1.630797782
14	1.612525545
15	1.593469931
16	1.577374718
17	1.56027955
18	1.542231382
19	1.52517276
20	1.508458661
21	1.492789151
22	1.477762733
23	1.463409185
24	1.449550383
25	1.43485385
26	1.422737078
27	1.408493982
28	1.394186104
29	1.379823918
30	1.367119729
31	1.355188107
32	1.34383668
33	1.332831613
34	1.32114296
35	1.309381037
36	1.299672537
37	1.289198903
38	1.278208192
39	1.26786584
40	1.257905547
41	1.248254314
42	1.237402514
43	1.226464434
44	1.216594062
45	1.207454949
46	1.197030827
47	1.187386087
48	1.178841691
49	1.171206716
50	1.16205713
51	1.15303165
52	1.143195945
53	1.134047027
54	1.127383614
55	1.11819319
56	1.11009725
57	1.102284959
58	1.093189835
59	1.0853667
60	1.077302255
61	1.070219948
62	1.062181767
63	1.055667146
64	1.048787456
65	1.041339526
66	1.034998038
67	1.028054631
68	1.021955963
69	1.015829241
70	1.010488606
71	1.0033674
72	0.99695483
73	0.9905502149
74	0.9846692382
75	0.9793584859
76	0.9724051283
77	0.9662256012
78	0.9607369888
79	0.9557455478
80	0.9497046743
81	0.9437936817
82	0.9375349515
83	0.930934696
84	0.9247691544
85	0.9203418894
86	0.9147923311
87	0.9101924736
88	0.9037395774
89	0.8980014299
90	0.8923111884
91	0.887137328
92	0.8823976024
93	0.8784504194
94	0.8739866246
95	0.8689490011
96	0.8636793131
97	0.8588705972
98	0.8544904185
99	0.8494831907
100	0.8450574577
101	0.8401563831
102	0.8360022206
103	0.8314855865
104	0.8264098367
105	0.8222571886
106	0.8177785239
107	0.8133416846
108	0.8094870322
109	0.8051016233
110	0.8008744978
111	0.7969031549
112	0.7928148507
113	0.7892289895
114	0.7850460394
115	0.7809876216
116	0.7770634486
117	0.7733066361
118	0.7698235708
119	0.7662474893
120	0.7622041743
121	0.7587363146
122	0.7553957956
123	0.7512916844
124	0.7479510607
125	0.7446566333
126	0.7414796607
127	0.7377905999
128	0.7345397507
129	0.7314802654
130	0.7279297379
131	0.7246084208
132	0.7212560119
133	0.718071165
134	0.7146106098
135	0.7114233011
136	0.7083678852
137	0.7055228849
138	0.7024163967
139	0.6993122402
140	0.6962753781
141	0.6933459631
142	0.6903894985
143	0.6877765005
144	0.6846487736
145	0.6816039626
146	0.678717812
147	0.6754137959
148	0.6722867719
149	0.6699255996
150	0.6676401236
151	0.6651505418
152	0.6626845104
153	0.6599896758
154	0.6571195481
155	0.6544871671
156	0.6524172997
157	0.6496244559
158	0.6465623625
159	0.644116849
160	0.6416101811
161	0.6393188299
162	0.6368251441
163	0.6342947701
164	0.631416267
165	0.6289808819
166	0.6262740351
167	0.624160877
168	0.6222720745
169	0.6205706904
170	0.6182919048
171	0.6161400335
172	0.6141539111
173	0.6120955772
174	0.6098037454
175	0.6076832008
176	0.6057094644
177	0.6032433994
178	0.6011528824
179	0.5991234509
180	0.5970485822
181	0.5945633047
182	0.5924435096
183	0.5907272526
184	0.5887494201
185	0.5865259628
186	0.5846101914
187	0.5827084569
188	0.5806855522
189	0.5785620044
190	0.5765628288
191	0.5748634233
192	0.572613131
193	0.5708531285
194	0.568905658
195	0.5667048809
196	0.5648951896
197	0.5629052707
198	0.5605329833
199	0.5588933113
200	0.5569405411
201	0.5550875328
202	0.5533138875
203	0.5515167951
204	0.550244507
205	0.548680569
206	0.5471244703
207	0.5456030051
208	0.5437698736
209	0.5421338112
210	0.5407792675
211	0.5394118508
212	0.5374865487
213	0.5356965245
214	0.534031217
215	0.5322891667
216	0.5307521385
217	0.5292488558
218	0.5274383099
219	0.5259162221
220	0.5244300841
221	0.5227455986
222	0.5212216264
223	0.5196548356
224	0.5182700942
225	0.5167156974
226	0.5151233047
227	0.5134510056
228	0.5121230577
229	0.5106264612
230	0.5094119112
231	0.5079725759
232	0.5068000662
233	0.5055393082
234	0.503645082
235	0.5022513866
236	0.5006595708
237	0.4992438626
238	0.497767296
239	0.4963341926
240	0.4949067484
241	0.4934463464
242	0.4923257647
243	0.49117696
244	0.4897297274
245	0.4883880889
246	0.4869524465
247	0.48568045
248	0.484596845
249	0.4834503469
250	0.4825068153
251	0.4813305602
252	0.4799638902
253	0.4786361362
254	0.4773596453
255	0.4762260492
256	0.4752939229
257	0.4742646211
258	0.4731162028
259	0.4719813449
260	0.4711109756
261	0.4700651738
262	0.4689035441
263	0.4678609284
264	0.4666308646
265	0.4656514175
266	0.464546851
267	0.4635628934
268	0.4623677009
269	0.4612377688
270	0.4605144163
271	0.4595909172
272	0.45847079
273	0.457425599
274	0.4564827465
275	0.4551760344
276	0.4540845416
277	0.4527931788
278	0.4516354228
279	0.4506404485
280	0.449629577
281	0.4486888151
282	0.4476843629
283	0.4466368526
284	0.4455988496
285	0.4444532712
286	0.4437948151
287	0.4429353008
288	0.4420131923
289	0.4410382024
290	0.4400838048
291	0.4392307598
292	0.43835
293	0.4375021456
294	0.4368591499
295	0.435788359
296	0.4349186715
297	0.4339306595
298	0.4330134488
299	0.4321322417
300	0.4312527442
301	0.430210957
302	0.4292867989
303	0.4283719496
304	0.4274532777
305	0.4266285627
306	0.4260904147
307	0.425310373
308	0.4245574692
309	0.423884605
310	0.4229331736
311	0.422069618
312	0.4210783508
313	0.4204232552
314	0.4195756392
315	0.418631327
316	0.4181327876
317	0.4173676824
318	0.4167415996
319	0.4159144323
320	0.4152232976
321	0.4144933508
322	0.4139302584
323	0.4130581352
324	0.412446491
325	0.4116569609
326	0.4108811056
327	0.4101604268
328	0.4093777146
329	0.4085171596
330	0.4079026947
331	0.4069474104
332	0.4061896971
333	0.4053336988
334	0.404674634
335	0.4037825673
336	0.4030345453
337	0.4021132766
338	0.4014301777
339	0.4005751388
340	0.3998748157
341	0.3990520874
342	0.3983486969
343	0.3977146044
344	0.3970518619
345	0.3965016446
346	0.3957587241
347	0.395067531
348	0.3944577573
349	0.3938458767
350	0.3931751763
351	0.3925567533
352	0.3920294701
353	0.3914510488
354	0.3907949784
355	0.390321389
356	0.3898297962
357	0.3889944529
358	0.3882801149
359	0.3876556847
360	0.3871119776
361	0.3864235295
362	0.3856247238
363	0.384887761
364	0.3841964832
365	0.3834835359
366	0.38277389
367	0.3822030897
368	0.3814788063
369	0.3809694526
370	0.3802135202
371	0.3796940444
372	0.3792827244
373	0.3788452276
374	0.378303048
375	0.3775254954
376	0.3769442374
377	0.3764890635
378	0.3756845825
379	0.3749505525
380	0.3742795634
381	0.3737135839
382	0.3731090296
383	0.3725372192
384	0.3719714617
385	0.371585109
386	0.3710034387
387	0.3703777686
388	0.3698941782
389	0.3692839622
390	0.3685786355
391	0.3681351618
392	0.3676470234
393	0.3670819436
394	0.3664571881
395	0.3659475107
396	0.3654027499
397	0.3648768235
398	0.3642047558
399	0.363649475
400	0.3629233433
401	0.3623423713
402	0.361823632
403	0.3612039604
404	0.360536743
405	0.3598845608
406	0.3593211211
407	0.3588402199
408	0.3582470968
409	0.3577072462
410	0.3571302637
411	0.3566883148
412	0.3560883538
413	0.3554788485
414	0.3549692288
415	0.354414857
416	0.3541335028
417	0.3535956087
418	0.3528523605
419	0.3524040329
420	0.3521178491
421	0.3515437782
422	0.3512300549
423	0.3507783511
424	0.3502655062
425	0.3498824391
426	0.3493287808
427	0.3488692539
428	0.3483272998
429	0.3478347611
430	0.3473462665
431	0.346968373
432	0.3464423494
433	0.3459531652
434	0.3456266933
435	0.3452251426
436	0.344879518
437	0.3444623708
438	0.3439842787
439	0.3435545658
440	0.3430253177
441	0.3424964665
442	0.3419948561
443	0.3415891939
444	0.3410225317
445	0.3405818906
446	0.3401519934
447	0.3395982624
448	0.3391810451
449	0.3387546123
450	0.3384078892
451	0.3379620196
452	0.3373395299
453	0.3369434395
454	0.3364306087
455	0.3360299811
456	0.3356620059
457	0.3353291633
458	0.3348903606
459	0.3344912928
460	0.333938854
461	0.3335156872
462	0.3330518364
463	0.3327576595
464	0.3324079102
465	0.3318941141
466	0.3316001218
467	0.3311449503
468	0.3307602285
469	0.3302518542
470	0.3298394652
471	0.3294537704
472	0.3289336992
473	0.3284305891
474	0.3280483435
475	0.3276375761
476	0.3272910637
477	0.3267603611
478	0.3262709963
479	0.3258845409
480	0.3255516582
481	0.3252498833
482	0.324904755
483	0.3247150705
484	0.3243801892
485	0.3240685665
486	0.3238019667
487	0.3234201075
488	0.3229526791
489	0.3226175735
490	0.3222646414
491	0.3219183288
492	0.3215201175
493	0.3212706619
494	0.3208763247
495	0.3206731326
496	0.3202358225
497	0.3198409063
498	0.319447771
499	0.3191368398
500	0.3188910819
501	0.3184853379
502	0.318086513
503	0.3177785321
504	0.3174652851
505	0.3171840892
506	0.3166175771
507	0.3161498029
508	0.3159240768
509	0.3155542955
510	0.3152129741
511	0.3149717508
512	0.3146127521
513	0.3143393794
514	0.31399154
515	0.313723363
516	0.3133454291
517	0.3129991518
518	0.3126595671
519	0.3123542961
520	0.3120841004
521	0.311791262
522	0.3114011881
523	0.3111958394
524	0.3108965823
525	0.3104713803
526	0.3100733255
527	0.3096922489
528	0.3093688597
529	0.3091244926
530	0.3086492159
531	0.308332841
532	0.3078615621
533	0.3076005886
534	0.3072802931
535	0.3069777389
536	0.3067385587
537	0.3063200215
538	0.3060861378
539	0.3057799592
540	0.305561232
541	0.3053043861
542	0.304913531
543	0.3046442296
544	0.3043460193
545	0.303987273
546	0.3037090387
547	0.303469041
548	0.3030957313
549	0.3028168072
