iter	Passed	Remaining
0	26	26322
1	33	16624
2	39	13225
3	46	11503
4	51	10321
5	58	9746
6	64	9166
7	70	8751
8	77	8485
9	83	8275
10	89	8064
11	96	7929
12	102	7770
13	108	7676
14	116	7622
15	122	7556
16	128	7436
17	134	7334
18	140	7272
19	147	7207
20	153	7146
21	159	7110
22	166	7086
23	175	7122
24	182	7103
25	189	7100
26	196	7094
27	203	7061
28	210	7043
29	217	7026
30	224	7016
31	230	6979
32	237	6957
33	244	6933
34	250	6912
35	257	6893
36	263	6865
37	270	6835
38	276	6821
39	283	6797
40	289	6778
41	296	6764
42	306	6814
43	312	6787
44	319	6770
45	325	6745
46	331	6723
47	338	6705
48	344	6682
49	350	6667
50	358	6662
51	364	6645
52	370	6626
53	377	6612
54	384	6603
55	390	6590
56	397	6577
57	404	6564
58	410	6550
59	417	6533
60	423	6520
61	430	6509
62	436	6498
63	443	6480
64	449	6471
65	456	6456
66	463	6459
67	471	6459
68	477	6442
69	484	6436
70	490	6422
71	497	6407
72	504	6400
73	511	6403
74	517	6388
75	525	6389
76	536	6434
77	570	6738
78	577	6737
79	585	6734
80	593	6729
81	602	6749
82	610	6745
83	618	6747
84	626	6745
85	633	6729
86	639	6710
87	646	6697
88	652	6681
89	659	6667
90	666	6657
91	674	6660
92	685	6686
93	692	6670
94	699	6662
95	706	6656
96	714	6650
97	721	6644
98	729	6638
99	736	6629
100	743	6614
101	749	6599
102	755	6583
103	762	6567
104	768	6551
105	774	6535
106	781	6520
107	787	6504
108	793	6489
109	800	6478
110	806	6461
111	814	6455
112	820	6440
113	827	6427
114	832	6410
115	838	6393
116	845	6382
117	851	6366
118	858	6353
119	864	6339
120	870	6322
121	876	6308
122	883	6296
123	889	6284
124	896	6276
125	903	6265
126	909	6253
127	916	6240
128	922	6228
129	929	6218
130	935	6204
131	941	6192
132	947	6178
133	953	6165
134	960	6152
135	966	6138
136	972	6128
137	981	6132
138	992	6147
139	1004	6172
140	1011	6164
141	1018	6155
142	1026	6149
143	1034	6146
144	1041	6140
145	1047	6127
146	1053	6112
147	1060	6102
148	1065	6087
149	1072	6075
150	1078	6062
151	1084	6050
152	1091	6040
153	1097	6027
154	1103	6014
155	1109	6001
156	1115	5987
157	1121	5975
158	1127	5965
159	1133	5953
160	1140	5942
161	1146	5928
162	1152	5916
163	1158	5905
164	1164	5891
165	1170	5880
166	1176	5868
167	1182	5856
168	1189	5846
169	1195	5836
170	1201	5826
171	1208	5816
172	1214	5805
173	1220	5794
174	1226	5783
175	1233	5772
176	1239	5761
177	1245	5749
178	1251	5739
179	1266	5771
180	1273	5760
181	1279	5751
182	1286	5742
183	1292	5729
184	1298	5718
185	1304	5708
186	1310	5698
187	1317	5689
188	1324	5681
189	1330	5672
190	1336	5662
191	1343	5652
192	1350	5645
193	1359	5649
194	1365	5638
195	1372	5629
196	1378	5619
197	1384	5609
198	1391	5600
199	1397	5591
200	1404	5582
201	1410	5571
202	1417	5563
203	1423	5554
204	1429	5544
205	1438	5543
206	1444	5533
207	1450	5524
208	1457	5515
209	1463	5504
210	1469	5495
211	1475	5485
212	1482	5476
213	1488	5465
214	1494	5455
215	1500	5445
216	1506	5434
217	1512	5424
218	1518	5414
219	1524	5403
220	1530	5395
221	1536	5385
222	1543	5378
223	1550	5371
224	1556	5362
225	1563	5354
226	1569	5344
227	1575	5334
228	1581	5325
229	1588	5317
230	1594	5307
231	1600	5298
232	1606	5289
233	1612	5279
234	1619	5270
235	1624	5260
236	1631	5253
237	1639	5248
238	1645	5239
239	1651	5230
240	1657	5220
241	1663	5211
242	1669	5202
243	1676	5193
244	1682	5183
245	1688	5174
246	1694	5165
247	1700	5155
248	1706	5146
249	1712	5136
250	1718	5127
251	1724	5119
252	1731	5111
253	1737	5102
254	1743	5093
255	1749	5085
256	1756	5076
257	1762	5068
258	1768	5060
259	1774	5050
260	1780	5042
261	1787	5033
262	1793	5025
263	1800	5018
264	1806	5011
265	1813	5003
266	1819	4995
267	1825	4986
268	1831	4977
269	1837	4968
270	1843	4960
271	1850	4951
272	1856	4943
273	1862	4935
274	1868	4926
275	1874	4918
276	1881	4909
277	1887	4901
278	1893	4893
279	1900	4886
280	1906	4877
281	1912	4869
282	1918	4861
283	1925	4853
284	1931	4845
285	1937	4836
286	1943	4828
287	1950	4820
288	1956	4813
289	1963	4806
290	1969	4799
291	1976	4792
292	1983	4784
293	1989	4777
294	1995	4769
295	2001	4760
296	2008	4755
297	2014	4746
298	2021	4738
299	2027	4731
300	2034	4725
301	2041	4717
302	2047	4709
303	2053	4702
304	2061	4696
305	2067	4688
306	2073	4681
307	2080	4674
308	2087	4668
309	2093	4660
310	2099	4652
311	2106	4645
312	2113	4637
313	2124	4641
314	2130	4633
315	2136	4625
316	2143	4617
317	2149	4609
318	2156	4604
319	2163	4597
320	2170	4591
321	2177	4585
322	2183	4577
323	2191	4571
324	2197	4564
325	2204	4557
326	2210	4549
327	2217	4543
328	2224	4536
329	2230	4528
330	2237	4521
331	2243	4515
332	2250	4507
333	2257	4501
334	2263	4492
335	2270	4486
336	2276	4479
337	2293	4492
338	2301	4488
339	2309	4483
340	2317	4478
341	2324	4472
342	2331	4465
343	2339	4461
344	2347	4456
345	2353	4449
346	2361	4443
347	2368	4438
348	2379	4437
349	2397	4453
350	2407	4451
351	2415	4447
352	2425	4445
353	2432	4438
354	2438	4429
355	2444	4421
356	2451	4415
357	2457	4407
358	2463	4399
359	2477	4404
360	2483	4396
361	2490	4388
362	2496	4380
363	2503	4373
364	2509	4365
365	2515	4357
366	2521	4349
367	2528	4342
368	2535	4334
369	2541	4327
370	2547	4319
371	2555	4314
372	2563	4309
373	2570	4303
374	2578	4296
375	2585	4290
376	2595	4288
377	2604	4285
378	2613	4282
379	2622	4278
380	2629	4272
381	2636	4265
382	2643	4258
383	2649	4250
384	2656	4243
385	2662	4234
386	2669	4227
387	2675	4219
388	2681	4212
389	2688	4204
390	2694	4197
391	2701	4189
392	2707	4181
393	2713	4173
394	2719	4166
395	2726	4158
396	2732	4150
397	2738	4142
398	2745	4134
399	2751	4127
400	2757	4119
401	2764	4111
402	2770	4103
403	2776	4096
404	2783	4089
405	2789	4081
406	2796	4074
407	2802	4067
408	2809	4059
409	2816	4052
410	2823	4045
411	2829	4038
412	2835	4030
413	2842	4022
414	2848	4015
415	2855	4008
416	2861	4000
417	2867	3992
418	2873	3985
419	2880	3977
420	2886	3969
421	2893	3962
422	2899	3955
423	2906	3948
424	2912	3941
425	2919	3933
426	2925	3926
427	2931	3918
428	2938	3910
429	2944	3903
430	2951	3896
431	2957	3889
432	2964	3882
433	2970	3874
434	2976	3866
435	2983	3858
436	2989	3851
437	2995	3843
438	3001	3836
439	3008	3828
440	3014	3821
441	3020	3813
442	3027	3806
443	3033	3798
444	3039	3791
445	3046	3783
446	3052	3776
447	3059	3769
448	3066	3762
449	3072	3755
450	3078	3748
451	3087	3743
452	3094	3736
453	3100	3729
454	3108	3723
455	3114	3715
456	3121	3708
457	3130	3705
458	3137	3697
459	3143	3690
460	3149	3682
461	3156	3675
462	3162	3668
463	3170	3662
464	3177	3655
465	3184	3648
466	3191	3642
467	3198	3635
468	3205	3629
469	3213	3624
470	3220	3617
471	3227	3610
472	3234	3603
473	3240	3596
474	3246	3588
475	3253	3581
476	3259	3573
477	3265	3566
478	3272	3559
479	3278	3551
480	3284	3544
481	3291	3536
482	3297	3529
483	3303	3522
484	3310	3515
485	3316	3507
486	3323	3500
487	3329	3493
488	3336	3486
489	3342	3479
490	3349	3472
491	3355	3464
492	3361	3457
493	3368	3450
494	3374	3442
495	3381	3435
496	3387	3428
497	3394	3421
498	3401	3414
499	3408	3408
500	3416	3402
501	3422	3395
502	3429	3388
503	3435	3381
504	3442	3374
505	3449	3367
506	3455	3359
507	3461	3352
508	3468	3345
509	3475	3338
510	3481	3331
511	3487	3324
512	3494	3317
513	3501	3310
514	3507	3303
515	3513	3295
516	3520	3288
517	3526	3281
518	3532	3274
519	3539	3267
520	3545	3259
521	3552	3252
522	3558	3245
523	3564	3238
524	3571	3231
525	3577	3223
526	3583	3216
527	3589	3209
528	3596	3202
529	3602	3194
530	3608	3187
531	3615	3180
532	3622	3174
533	3630	3168
534	3637	3161
535	3643	3154
536	3649	3147
537	3656	3140
538	3663	3133
539	3669	3125
540	3676	3119
541	3683	3112
542	3689	3105
543	3695	3098
544	3702	3090
545	3709	3084
546	3715	3077
547	3722	3070
548	3729	3063
549	3735	3056
550	3741	3049
551	3747	3041
552	3754	3035
553	3761	3028
554	3767	3021
555	3776	3015
556	3782	3008
557	3789	3001
558	3795	2994
559	3802	2987
560	3808	2980
561	3815	2973
562	3822	2966
563	3828	2959
564	3835	2953
565	3842	2946
566	3848	2938
567	3854	2931
568	3861	2924
569	3867	2917
570	3873	2909
571	3879	2903
572	3885	2895
573	3892	2888
574	3898	2881
575	3905	2874
576	3911	2867
577	3917	2860
578	3924	2853
579	3930	2846
580	3936	2838
581	3942	2831
582	3948	2824
583	3955	2817
584	3961	2809
585	3967	2802
586	3974	2796
587	3980	2788
588	3987	2782
589	3993	2775
590	4001	2768
591	4007	2761
592	4013	2754
593	4019	2747
594	4026	2740
595	4032	2733
596	4036	2724
597	4042	2717
598	4048	2710
599	4054	2703
600	4060	2695
601	4066	2688
602	4073	2681
603	4079	2674
604	4085	2667
605	4091	2659
606	4097	2652
607	4103	2645
608	4109	2638
609	4115	2631
610	4122	2624
611	4128	2617
612	4134	2610
613	4140	2603
614	4146	2596
615	4156	2590
616	4163	2584
617	4170	2577
618	4176	2570
619	4182	2563
620	4189	2557
621	4197	2550
622	4204	2544
623	4210	2537
624	4217	2530
625	4223	2523
626	4230	2516
627	4237	2510
628	4244	2503
629	4250	2496
630	4257	2489
631	4265	2483
632	4273	2477
633	4281	2471
634	4288	2465
635	4296	2459
636	4304	2452
637	4313	2447
638	4323	2442
639	4334	2438
640	4343	2432
641	4352	2427
642	4359	2420
643	4366	2413
644	4373	2407
645	4380	2400
646	4388	2394
647	4395	2387
648	4403	2381
649	4411	2375
650	4419	2369
651	4427	2363
652	4442	2360
653	4449	2353
654	4458	2348
655	4466	2342
656	4474	2335
657	4482	2329
658	4488	2322
659	4498	2317
660	4505	2310
661	4511	2303
662	4517	2296
663	4523	2288
664	4528	2281
665	4535	2274
666	4541	2267
667	4547	2260
668	4554	2253
669	4560	2246
670	4568	2239
671	4573	2232
672	4580	2225
673	4587	2218
674	4594	2212
675	4622	2215
676	4628	2208
677	4635	2201
678	4640	2193
679	4648	2187
680	4668	2186
681	4675	2179
682	4682	2173
683	4689	2166
684	4697	2160
685	4704	2153
686	4711	2146
687	4738	2148
688	4744	2141
689	4801	2157
690	4810	2151
691	4822	2146
692	4832	2140
693	4840	2134
694	4848	2127
695	4854	2120
696	4859	2112
